id,date,cod_account,account,short_class,class,transaction_type,name,memodescription,revenueexpenses,amount
213,2022-10-01,60620,60620 Rent & Lease,G&A,General & Administrative,Bill,WeWork,Office Rent,EXPENSES,15500
214,2022-10-01,60630,60630 Utilities,G&A,General & Administrative,Bill,Utility Co,Office Utilities,EXPENSES,2800
215,2022-10-05,50200,50200 Merchant Account Fees,G&A,General & Administrative,Bill,Stripe,Payment Processing Fees,EXPENSES,2700
216,2022-10-05,50210,50210 Product Costs,G&A,General & Administrative,Bill,Hardware Inc,Product Manufacturing Costs,EXPENSES,59500
217,2022-10-05,60710,60710 Accounting Fees,G&A,General & Administrative,Bill,Deloitte,Monthly Accounting Services,EXPENSES,4650
218,2022-10-10,60720,60720 Consulting Fees,G&A,General & Administrative,Bill,TechConsult,IT Consulting,EXPENSES,8800
219,2022-10-15,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,AgileTech Solutions,October SaaS Subscription,REVENUE,19000
220,2022-10-15,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,Various SMB,Monthly SaaS Subscriptions,REVENUE,49500
221,2022-10-15,60730,60730 Legal Fees,G&A,General & Administrative,Bill,Legal Corp,Legal Services,EXPENSES,5200
222,2022-10-15,60740,60740 Recruiting Fees,G&A,General & Administrative,Bill,TalentCo,Recruiting Services,EXPENSES,7800
223,2022-10-15,60810,60810 Salary & Wages,G&A,General & Administrative,Bill,ADP,Payroll - G&A Team,EXPENSES,47000
224,2022-10-15,60810,60810 Salary & Wages,R&D,Research & Development,Bill,ADP,Payroll - R&D Team,EXPENSES,88500
225,2022-10-15,60810,60810 Salary & Wages,S&M,Sales & Marketing,Bill,ADP,Payroll - Sales Team,EXPENSES,68000
226,2022-10-15,60810,60810 Salary & Wages,CS,Customer Support,Bill,ADP,Payroll - Support Team,EXPENSES,57500
227,2022-10-15,60820,60820 Payroll Taxes,G&A,General & Administrative,Bill,ADP,Payroll Taxes - G&A,EXPENSES,3760
228,2022-10-15,60820,60820 Payroll Taxes,R&D,Research & Development,Bill,ADP,Payroll Taxes - R&D,EXPENSES,7080
229,2022-10-15,60820,60820 Payroll Taxes,S&M,Sales & Marketing,Bill,ADP,Payroll Taxes - Sales,EXPENSES,5440
230,2022-10-15,60820,60820 Payroll Taxes,CS,Customer Support,Bill,ADP,Payroll Taxes - Support,EXPENSES,4600
231,2022-10-15,60830,60830 Health Insurance,G&A,General & Administrative,Bill,UnitedHealth,Health Insurance - G&A,EXPENSES,9300
232,2022-10-15,60830,60830 Health Insurance,R&D,Research & Development,Bill,UnitedHealth,Health Insurance - R&D,EXPENSES,17500
233,2022-10-15,60830,60830 Health Insurance,S&M,Sales & Marketing,Bill,UnitedHealth,Health Insurance - Sales,EXPENSES,13400
234,2022-10-15,60830,60830 Health Insurance,CS,Customer Support,Bill,UnitedHealth,Health Insurance - Support,EXPENSES,11300
235,2022-10-15,60840,60840 Payroll Processing Fees,G&A,General & Administrative,Bill,ADP,Payroll Processing Fees,EXPENSES,880
236,2022-10-31,60850,60850 Commissions Expense,S&M,Sales & Marketing,Bill,ADP,Sales Commissions,EXPENSES,31500
237,2022-10-31,70100,70100 Interest Income,G&A,General & Administrative,Deposit,Bank,Interest Income,REVENUE,1600
238,2022-10-31,80100,80100 Depreciation Expense,G&A,General & Administrative,Journal Entry,Monthly Depreciation,Depreciation Expense,EXPENSES,8800
239,2022-10-31,80200,80200 Interest Expense,G&A,General & Administrative,Bill,Bank,Loan Interest,EXPENSES,2600
240,2022-11-01,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,TechCorp Inc,November SaaS Subscription,REVENUE,50500
241,2022-11-01,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,DataFlow Ltd,November SaaS Subscription,REVENUE,43000
242,2022-11-01,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,CloudServe Pro,November SaaS Subscription,REVENUE,24000
243,2022-11-01,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,Digital Dynamics,November SaaS Subscription,REVENUE,16500
244,2022-11-01,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,InnovateX Corp,November SaaS Subscription,REVENUE,29000
245,2022-11-01,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,Various SMB,Monthly SaaS Subscriptions,REVENUE,72000
246,2022-11-01,40200,40200 Product Revenue,G&A,General & Administrative,Invoice,GlobalTech,Product License - Enterprise,REVENUE,88000
247,2022-11-01,50100,50100 Web Domain & Hosting Fees,G&A,General & Administrative,Bill,AWS,Cloud Hosting - November,EXPENSES,32500
248,2022-11-01,50200,50200 Merchant Account Fees,G&A,General & Administrative,Bill,Stripe,Payment Processing Fees,EXPENSES,6800
249,2022-11-01,60100,60100 Advertising & Marketing,S&M,Sales & Marketing,Bill,Google Ads,Monthly Ad Spend,EXPENSES,22000
250,2022-11-01,60100,60100 Advertising & Marketing,S&M,Sales & Marketing,Bill,LinkedIn,Premium Advertising,EXPENSES,11500
251,2022-11-01,60400,60400 Dues & Subscriptions,G&A,General & Administrative,Bill,Slack,Monthly Subscription,EXPENSES,2100
252,2022-11-01,60400,60400 Dues & Subscriptions,R&D,Research & Development,Bill,GitHub,Enterprise License,EXPENSES,1600
253,2022-11-01,60500,60500 Insurance,G&A,General & Administrative,Bill,Hartford,Business Insurance,EXPENSES,4700
254,2022-11-01,60620,60620 Rent & Lease,G&A,General & Administrative,Bill,WeWork,Office Rent,EXPENSES,15500
255,2022-11-01,60630,60630 Utilities,G&A,General & Administrative,Bill,Utility Co,Office Utilities,EXPENSES,2900
256,2022-11-05,50200,50200 Merchant Account Fees,G&A,General & Administrative,Bill,Stripe,Payment Processing Fees,EXPENSES,2850
257,2022-11-05,50210,50210 Product Costs,G&A,General & Administrative,Bill,Hardware Inc,Product Manufacturing Costs,EXPENSES,61600
258,2022-11-05,60710,60710 Accounting Fees,G&A,General & Administrative,Bill,Deloitte,Monthly Accounting Services,EXPENSES,4650
259,2022-11-10,60720,60720 Consulting Fees,G&A,General & Administrative,Bill,TechConsult,IT Consulting,EXPENSES,8800
260,2022-11-15,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,AgileTech Solutions,November SaaS Subscription,REVENUE,19500
261,2022-11-15,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,Various SMB,Monthly SaaS Subscriptions,REVENUE,52000
262,2022-11-15,60730,60730 Legal Fees,G&A,General & Administrative,Bill,Legal Corp,Legal Services,EXPENSES,5200
263,2022-11-15,60740,60740 Recruiting Fees,G&A,General & Administrative,Bill,TalentCo,Recruiting Services,EXPENSES,7800
264,2022-11-15,60810,60810 Salary & Wages,G&A,General & Administrative,Bill,ADP,Payroll - G&A Team,EXPENSES,47000
265,2022-11-15,60810,60810 Salary & Wages,R&D,Research & Development,Bill,ADP,Payroll - R&D Team,EXPENSES,88500
266,2022-11-15,60810,60810 Salary & Wages,S&M,Sales & Marketing,Bill,ADP,Payroll - Sales Team,EXPENSES,68000
267,2022-11-15,60810,60810 Salary & Wages,CS,Customer Support,Bill,ADP,Payroll - Support Team,EXPENSES,57500
268,2022-11-15,60820,60820 Payroll Taxes,G&A,General & Administrative,Bill,ADP,Payroll Taxes - G&A,EXPENSES,3760
269,2022-11-15,60820,60820 Payroll Taxes,R&D,Research & Development,Bill,ADP,Payroll Taxes - R&D,EXPENSES,7080
270,2022-11-15,60820,60820 Payroll Taxes,S&M,Sales & Marketing,Bill,ADP,Payroll Taxes - Sales,EXPENSES,5440
271,2022-11-15,60820,60820 Payroll Taxes,CS,Customer Support,Bill,ADP,Payroll Taxes - Support,EXPENSES,4600
272,2022-11-15,60830,60830 Health Insurance,G&A,General & Administrative,Bill,UnitedHealth,Health Insurance - G&A,EXPENSES,9300
273,2022-11-15,60830,60830 Health Insurance,R&D,Research & Development,Bill,UnitedHealth,Health Insurance - R&D,EXPENSES,17500
274,2022-11-15,60830,60830 Health Insurance,S&M,Sales & Marketing,Bill,UnitedHealth,Health Insurance - Sales,EXPENSES,13400
275,2022-11-15,60830,60830 Health Insurance,CS,Customer Support,Bill,UnitedHealth,Health Insurance - Support,EXPENSES,11300
276,2022-11-15,60840,60840 Payroll Processing Fees,G&A,General & Administrative,Bill,ADP,Payroll Processing Fees,EXPENSES,880
277,2022-11-30,60850,60850 Commissions Expense,S&M,Sales & Marketing,Bill,ADP,Sales Commissions,EXPENSES,33500
278,2022-11-30,70100,70100 Interest Income,G&A,General & Administrative,Deposit,Bank,Interest Income,REVENUE,1600
279,2022-11-30,80100,80100 Depreciation Expense,G&A,General & Administrative,Journal Entry,Monthly Depreciation,Depreciation Expense,EXPENSES,8800
280,2022-11-30,80200,80200 Interest Expense,G&A,General & Administrative,Bill,Bank,Loan Interest,EXPENSES,2600
281,2022-12-01,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,TechCorp Inc,December SaaS Subscription,REVENUE,51500
282,2022-12-01,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,DataFlow Ltd,December SaaS Subscription,REVENUE,44000
283,2022-12-01,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,CloudServe Pro,December SaaS Subscription,REVENUE,24500
284,2022-12-01,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,Digital Dynamics,December SaaS Subscription,REVENUE,17000
285,2022-12-01,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,InnovateX Corp,December SaaS Subscription,REVENUE,29500
286,2022-12-01,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,Various SMB,Monthly SaaS Subscriptions,REVENUE,75000
287,2022-12-01,40200,40200 Product Revenue,G&A,General & Administrative,Invoice,GlobalTech,Product License - Enterprise,REVENUE,92000
288,2022-12-01,50100,50100 Web Domain & Hosting Fees,G&A,General & Administrative,Bill,AWS,Cloud Hosting - December,EXPENSES,33800
289,2022-12-01,50200,50200 Merchant Account Fees,G&A,General & Administrative,Bill,Stripe,Payment Processing Fees,EXPENSES,7100
290,2022-12-01,60100,60100 Advertising & Marketing,S&M,Sales & Marketing,Bill,Google Ads,Monthly Ad Spend,EXPENSES,25000
291,2022-12-01,60100,60100 Advertising & Marketing,S&M,Sales & Marketing,Bill,LinkedIn,Premium Advertising,EXPENSES,12800
292,2022-12-01,60400,60400 Dues & Subscriptions,G&A,General & Administrative,Bill,Slack,Monthly Subscription,EXPENSES,2100
293,2022-12-01,60400,60400 Dues & Subscriptions,R&D,Research & Development,Bill,GitHub,Enterprise License,EXPENSES,1600
294,2022-12-01,60500,60500 Insurance,G&A,General & Administrative,Bill,Hartford,Business Insurance,EXPENSES,4700
295,2022-12-01,60620,60620 Rent & Lease,G&A,General & Administrative,Bill,WeWork,Office Rent,EXPENSES,15500
296,2022-12-01,60630,60630 Utilities,G&A,General & Administrative,Bill,Utility Co,Office Utilities,EXPENSES,3000
297,2022-12-05,50200,50200 Merchant Account Fees,G&A,General & Administrative,Bill,Stripe,Payment Processing Fees,EXPENSES,3100
298,2022-12-05,50210,50210 Product Costs,G&A,General & Administrative,Bill,Hardware Inc,Product Manufacturing Costs,EXPENSES,64400
299,2022-12-05,60710,60710 Accounting Fees,G&A,General & Administrative,Bill,Deloitte,Monthly Accounting Services,EXPENSES,4650
300,2022-12-10,60720,60720 Consulting Fees,G&A,General & Administrative,Bill,TechConsult,IT Consulting,EXPENSES,8800
301,2022-12-15,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,AgileTech Solutions,December SaaS Subscription,REVENUE,20000
302,2022-12-15,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,Various SMB,Monthly SaaS Subscriptions,REVENUE,55000
303,2022-12-15,60730,60730 Legal Fees,G&A,General & Administrative,Bill,Legal Corp,Legal Services,EXPENSES,5200
304,2022-12-15,60740,60740 Recruiting Fees,G&A,General & Administrative,Bill,TalentCo,Recruiting Services,EXPENSES,7800
305,2022-12-15,60810,60810 Salary & Wages,G&A,General & Administrative,Bill,ADP,Payroll - G&A Team,EXPENSES,47000
306,2022-12-15,60810,60810 Salary & Wages,R&D,Research & Development,Bill,ADP,Payroll - R&D Team,EXPENSES,88500
307,2022-12-15,60810,60810 Salary & Wages,S&M,Sales & Marketing,Bill,ADP,Payroll - Sales Team,EXPENSES,68000
308,2022-12-15,60810,60810 Salary & Wages,CS,Customer Support,Bill,ADP,Payroll - Support Team,EXPENSES,57500
309,2022-12-15,60820,60820 Payroll Taxes,G&A,General & Administrative,Bill,ADP,Payroll Taxes - G&A,EXPENSES,3760
310,2022-12-15,60820,60820 Payroll Taxes,R&D,Research & Development,Bill,ADP,Payroll Taxes - R&D,EXPENSES,7080
311,2022-12-15,60820,60820 Payroll Taxes,S&M,Sales & Marketing,Bill,ADP,Payroll Taxes - Sales,EXPENSES,5440
312,2022-12-15,60820,60820 Payroll Taxes,CS,Customer Support,Bill,ADP,Payroll Taxes - Support,EXPENSES,4600
313,2022-12-15,60830,60830 Health Insurance,G&A,General & Administrative,Bill,UnitedHealth,Health Insurance - G&A,EXPENSES,9300
314,2022-12-15,60830,60830 Health Insurance,R&D,Research & Development,Bill,UnitedHealth,Health Insurance - R&D,EXPENSES,17500
315,2022-12-15,60830,60830 Health Insurance,S&M,Sales & Marketing,Bill,UnitedHealth,Health Insurance - Sales,EXPENSES,13400
316,2022-12-15,60830,60830 Health Insurance,CS,Customer Support,Bill,UnitedHealth,Health Insurance - Support,EXPENSES,11300
317,2022-12-15,60840,60840 Payroll Processing Fees,G&A,General & Administrative,Bill,ADP,Payroll Processing Fees,EXPENSES,880
318,2022-12-31,60850,60850 Commissions Expense,S&M,Sales & Marketing,Bill,ADP,Sales Commissions,EXPENSES,35800
319,2022-12-31,70100,70100 Interest Income,G&A,General & Administrative,Deposit,Bank,Interest Income,REVENUE,1650
320,2022-12-31,80100,80100 Depreciation Expense,G&A,General & Administrative,Journal Entry,Monthly Depreciation,Depreciation Expense,EXPENSES,8800
321,2022-12-31,80200,80200 Interest Expense,G&A,General & Administrative,Bill,Bank,Loan Interest,EXPENSES,2600
322,2023-01-01,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,TechCorp Inc,January SaaS Subscription,REVENUE,50800
323,2023-01-01,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,DataFlow Ltd,January SaaS Subscription,REVENUE,43500
324,2023-01-01,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,CloudServe Pro,January SaaS Subscription,REVENUE,24200
325,2023-01-01,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,Digital Dynamics,January SaaS Subscription,REVENUE,16800
326,2023-01-01,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,InnovateX Corp,January SaaS Subscription,REVENUE,29200
327,2023-01-01,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,Various SMB,Monthly SaaS Subscriptions,REVENUE,73000
328,2023-01-01,40200,40200 Product Revenue,G&A,General & Administrative,Invoice,GlobalTech,Product License - Enterprise,REVENUE,89000
329,2023-01-01,50100,50100 Web Domain & Hosting Fees,G&A,General & Administrative,Bill,AWS,Cloud Hosting - January,EXPENSES,34500
330,2023-01-01,50200,50200 Merchant Account Fees,G&A,General & Administrative,Bill,Stripe,Payment Processing Fees,EXPENSES,6900
331,2023-01-01,60100,60100 Advertising & Marketing,S&M,Sales & Marketing,Bill,Google Ads,Monthly Ad Spend,EXPENSES,18000
332,2023-01-01,60100,60100 Advertising & Marketing,S&M,Sales & Marketing,Bill,LinkedIn,Premium Advertising,EXPENSES,9800
333,2023-01-01,60400,60400 Dues & Subscriptions,G&A,General & Administrative,Bill,Slack,Monthly Subscription,EXPENSES,2200
334,2023-01-01,60400,60400 Dues & Subscriptions,R&D,Research & Development,Bill,GitHub,Enterprise License,EXPENSES,1700
335,2023-01-01,60500,60500 Insurance,G&A,General & Administrative,Bill,Hartford,Business Insurance,EXPENSES,4900
336,2023-01-01,60620,60620 Rent & Lease,G&A,General & Administrative,Bill,WeWork,Office Rent,EXPENSES,16000
337,2023-01-01,60630,60630 Utilities,G&A,General & Administrative,Bill,Utility Co,Office Utilities,EXPENSES,3100
338,2023-01-05,50200,50200 Merchant Account Fees,G&A,General & Administrative,Bill,Stripe,Payment Processing Fees,EXPENSES,2900
339,2023-01-05,50210,50210 Product Costs,G&A,General & Administrative,Bill,Hardware Inc,Product Manufacturing Costs,EXPENSES,62300
340,2023-01-05,60710,60710 Accounting Fees,G&A,General & Administrative,Bill,Deloitte,Monthly Accounting Services,EXPENSES,4800
341,2023-01-10,60720,60720 Consulting Fees,G&A,General & Administrative,Bill,TechConsult,IT Consulting,EXPENSES,9000
342,2023-01-10,61010,61010 Lodging,S&M,Sales & Marketing,Expense,Marriott,Sales Team Travel,EXPENSES,4200
343,2023-01-10,61020,61020 Meals & Entertainment,S&M,Sales & Marketing,Expense,Various,Client Meetings,EXPENSES,2300
344,2023-01-10,61030,61030 Travel,S&M,Sales & Marketing,Expense,United,Flights - Sales Team,EXPENSES,3200
345,2023-01-15,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,AgileTech Solutions,January SaaS Subscription,REVENUE,19800
346,2023-01-15,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,Various SMB,Monthly SaaS Subscriptions,REVENUE,54000
347,2023-01-15,60730,60730 Legal Fees,G&A,General & Administrative,Bill,Legal Corp,Legal Services,EXPENSES,5400
348,2023-01-15,60740,60740 Recruiting Fees,G&A,General & Administrative,Bill,TalentCo,Recruiting Services,EXPENSES,8000
349,2023-01-15,60810,60810 Salary & Wages,G&A,General & Administrative,Bill,ADP,Payroll - G&A Team,EXPENSES,48500
350,2023-01-15,60810,60810 Salary & Wages,R&D,Research & Development,Bill,ADP,Payroll - R&D Team,EXPENSES,91000
351,2023-01-15,60810,60810 Salary & Wages,S&M,Sales & Marketing,Bill,ADP,Payroll - Sales Team,EXPENSES,70000
352,2023-01-15,60810,60810 Salary & Wages,CS,Customer Support,Bill,ADP,Payroll - Support Team,EXPENSES,59000
353,2023-01-15,60820,60820 Payroll Taxes,G&A,General & Administrative,Bill,ADP,Payroll Taxes - G&A,EXPENSES,3880
354,2023-01-15,60820,60820 Payroll Taxes,R&D,Research & Development,Bill,ADP,Payroll Taxes - R&D,EXPENSES,7280
355,2023-01-15,60820,60820 Payroll Taxes,S&M,Sales & Marketing,Bill,ADP,Payroll Taxes - Sales,EXPENSES,5600
356,2023-01-15,60820,60820 Payroll Taxes,CS,Customer Support,Bill,ADP,Payroll Taxes - Support,EXPENSES,4720
357,2023-01-15,60830,60830 Health Insurance,G&A,General & Administrative,Bill,UnitedHealth,Health Insurance - G&A,EXPENSES,9700
358,2023-01-15,60830,60830 Health Insurance,R&D,Research & Development,Bill,UnitedHealth,Health Insurance - R&D,EXPENSES,18200
359,2023-01-15,60830,60830 Health Insurance,S&M,Sales & Marketing,Bill,UnitedHealth,Health Insurance - Sales,EXPENSES,13900
360,2023-01-15,60830,60830 Health Insurance,CS,Customer Support,Bill,UnitedHealth,Health Insurance - Support,EXPENSES,11700
361,2023-01-15,60840,60840 Payroll Processing Fees,G&A,General & Administrative,Bill,ADP,Payroll Processing Fees,EXPENSES,900
362,2023-01-31,60850,60850 Commissions Expense,S&M,Sales & Marketing,Bill,ADP,Sales Commissions,EXPENSES,32500
363,2023-01-31,70100,70100 Interest Income,G&A,General & Administrative,Deposit,Bank,Interest Income,REVENUE,1700
364,2023-01-31,80100,80100 Depreciation Expense,G&A,General & Administrative,Journal Entry,Monthly Depreciation,Depreciation Expense,EXPENSES,9000
365,2023-01-31,80200,80200 Interest Expense,G&A,General & Administrative,Bill,Bank,Loan Interest,EXPENSES,2700
366,2023-02-01,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,TechCorp Inc,February SaaS Subscription,REVENUE,51200
367,2023-02-01,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,DataFlow Ltd,February SaaS Subscription,REVENUE,44000
368,2023-02-01,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,CloudServe Pro,February SaaS Subscription,REVENUE,24500
369,2023-02-01,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,Digital Dynamics,February SaaS Subscription,REVENUE,17000
370,2023-02-01,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,InnovateX Corp,February SaaS Subscription,REVENUE,29500
371,2023-02-01,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,TechMatrix Solutions,February SaaS Subscription,REVENUE,35000
372,2023-02-01,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,Various SMB,Monthly SaaS Subscriptions,REVENUE,75000
373,2023-02-01,40200,40200 Product Revenue,G&A,General & Administrative,Invoice,GlobalTech,Product License - Enterprise,REVENUE,90000
374,2023-02-01,50100,50100 Web Domain & Hosting Fees,G&A,General & Administrative,Bill,AWS,Cloud Hosting - February,EXPENSES,35200
375,2023-02-01,50200,50200 Merchant Account Fees,G&A,General & Administrative,Bill,Stripe,Payment Processing Fees,EXPENSES,7100
376,2023-02-01,60100,60100 Advertising & Marketing,S&M,Sales & Marketing,Bill,Google Ads,Monthly Ad Spend,EXPENSES,18500
377,2023-02-01,60100,60100 Advertising & Marketing,S&M,Sales & Marketing,Bill,LinkedIn,Premium Advertising,EXPENSES,10000
378,2023-02-01,60400,60400 Dues & Subscriptions,G&A,General & Administrative,Bill,Slack,Monthly Subscription,EXPENSES,2200
379,2023-02-01,60400,60400 Dues & Subscriptions,R&D,Research & Development,Bill,GitHub,Enterprise License,EXPENSES,1700
380,2023-02-01,60500,60500 Insurance,G&A,General & Administrative,Bill,Hartford,Business Insurance,EXPENSES,4900
381,2023-02-01,60620,60620 Rent & Lease,G&A,General & Administrative,Bill,WeWork,Office Rent,EXPENSES,16000
382,2023-02-01,60630,60630 Utilities,G&A,General & Administrative,Bill,Utility Co,Office Utilities,EXPENSES,3200
383,2023-02-05,50200,50200 Merchant Account Fees,G&A,General & Administrative,Bill,Stripe,Payment Processing Fees,EXPENSES,3000
384,2023-02-05,50210,50210 Product Costs,G&A,General & Administrative,Bill,Hardware Inc,Product Manufacturing Costs,EXPENSES,63000
385,2023-02-05,60710,60710 Accounting Fees,G&A,General & Administrative,Bill,Deloitte,Monthly Accounting Services,EXPENSES,4800
386,2023-02-10,60720,60720 Consulting Fees,G&A,General & Administrative,Bill,TechConsult,IT Consulting,EXPENSES,9000
387,2023-02-15,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,AgileTech Solutions,February SaaS Subscription,REVENUE,20000
388,2023-02-15,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,Various SMB,Monthly SaaS Subscriptions,REVENUE,55500
389,2023-02-15,60730,60730 Legal Fees,G&A,General & Administrative,Bill,Legal Corp,Legal Services,EXPENSES,5400
390,2023-02-15,60740,60740 Recruiting Fees,G&A,General & Administrative,Bill,TalentCo,Recruiting Services,EXPENSES,8000
391,2023-02-15,60810,60810 Salary & Wages,G&A,General & Administrative,Bill,ADP,Payroll - G&A Team,EXPENSES,48500
392,2023-02-15,60810,60810 Salary & Wages,R&D,Research & Development,Bill,ADP,Payroll - R&D Team,EXPENSES,91000
393,2023-02-15,60810,60810 Salary & Wages,S&M,Sales & Marketing,Bill,ADP,Payroll - Sales Team,EXPENSES,70000
394,2023-02-15,60810,60810 Salary & Wages,CS,Customer Support,Bill,ADP,Payroll - Support Team,EXPENSES,59000
395,2023-02-15,60820,60820 Payroll Taxes,G&A,General & Administrative,Bill,ADP,Payroll Taxes - G&A,EXPENSES,3880
396,2023-02-15,60820,60820 Payroll Taxes,R&D,Research & Development,Bill,ADP,Payroll Taxes - R&D,EXPENSES,7280
397,2023-02-15,60820,60820 Payroll Taxes,S&M,Sales & Marketing,Bill,ADP,Payroll Taxes - Sales,EXPENSES,5600
398,2023-02-15,60820,60820 Payroll Taxes,CS,Customer Support,Bill,ADP,Payroll Taxes - Support,EXPENSES,4720
399,2023-02-15,60830,60830 Health Insurance,G&A,General & Administrative,Bill,UnitedHealth,Health Insurance - G&A,EXPENSES,9700
400,2023-02-15,60830,60830 Health Insurance,R&D,Research & Development,Bill,UnitedHealth,Health Insurance - R&D,EXPENSES,18200
401,2023-02-15,60830,60830 Health Insurance,S&M,Sales & Marketing,Bill,UnitedHealth,Health Insurance - Sales,EXPENSES,13900
402,2023-02-15,60830,60830 Health Insurance,CS,Customer Support,Bill,UnitedHealth,Health Insurance - Support,EXPENSES,11700
403,2023-02-15,60840,60840 Payroll Processing Fees,G&A,General & Administrative,Bill,ADP,Payroll Processing Fees,EXPENSES,900
404,2023-02-28,60850,60850 Commissions Expense,S&M,Sales & Marketing,Bill,ADP,Sales Commissions,EXPENSES,33500
405,2023-02-28,70100,70100 Interest Income,G&A,General & Administrative,Deposit,Bank,Interest Income,REVENUE,1700
406,2023-02-28,80100,80100 Depreciation Expense,G&A,General & Administrative,Journal Entry,Monthly Depreciation,Depreciation Expense,EXPENSES,9000
407,2023-02-28,80200,80200 Interest Expense,G&A,General & Administrative,Bill,Bank,Loan Interest,EXPENSES,2700
408,2023-03-01,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,TechCorp Inc,March SaaS Subscription,REVENUE,51800
409,2023-03-01,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,DataFlow Ltd,March SaaS Subscription,REVENUE,44500
410,2023-03-01,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,CloudServe Pro,March SaaS Subscription,REVENUE,24800
411,2023-03-01,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,Digital Dynamics,March SaaS Subscription,REVENUE,17200
412,2023-03-01,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,InnovateX Corp,March SaaS Subscription,REVENUE,29800
413,2023-03-01,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,TechMatrix Solutions,March SaaS Subscription,REVENUE,35500
414,2023-03-01,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,Various SMB,Monthly SaaS Subscriptions,REVENUE,77000
415,2023-03-01,40200,40200 Product Revenue,G&A,General & Administrative,Invoice,GlobalTech,Product License - Enterprise,REVENUE,92000
416,2023-03-01,50100,50100 Web Domain & Hosting Fees,G&A,General & Administrative,Bill,AWS,Cloud Hosting - March,EXPENSES,36000
417,2023-03-01,50200,50200 Merchant Account Fees,G&A,General & Administrative,Bill,Stripe,Payment Processing Fees,EXPENSES,7300
418,2023-03-01,60100,60100 Advertising & Marketing,S&M,Sales & Marketing,Bill,Google Ads,Monthly Ad Spend,EXPENSES,19000
419,2023-03-01,60100,60100 Advertising & Marketing,S&M,Sales & Marketing,Bill,LinkedIn,Premium Advertising,EXPENSES,10200
420,2023-03-01,60400,60400 Dues & Subscriptions,G&A,General & Administrative,Bill,Slack,Monthly Subscription,EXPENSES,2200
421,2023-03-01,60400,60400 Dues & Subscriptions,R&D,Research & Development,Bill,GitHub,Enterprise License,EXPENSES,1700
422,2023-03-01,60500,60500 Insurance,G&A,General & Administrative,Bill,Hartford,Business Insurance,EXPENSES,4900
423,2023-03-01,60620,60620 Rent & Lease,G&A,General & Administrative,Bill,WeWork,Office Rent,EXPENSES,16000
424,2023-03-01,60630,60630 Utilities,G&A,General & Administrative,Bill,Utility Co,Office Utilities,EXPENSES,3300
425,2023-03-05,50200,50200 Merchant Account Fees,G&A,General & Administrative,Bill,Stripe,Payment Processing Fees,EXPENSES,3100
426,2023-03-05,50210,50210 Product Costs,G&A,General & Administrative,Bill,Hardware Inc,Product Manufacturing Costs,EXPENSES,64400
427,2023-03-05,60710,60710 Accounting Fees,G&A,General & Administrative,Bill,Deloitte,Monthly Accounting Services,EXPENSES,4800
428,2023-03-10,60720,60720 Consulting Fees,G&A,General & Administrative,Bill,TechConsult,IT Consulting,EXPENSES,9000
